         ns       /testbench/out_x          /testbench/out_z      
          delta                /testbench/out_y                   
          0  +0                  x            x            x 
       3070  +2          -10868239    -19653391     15642508 
       3090  +2          -11211409    -20132010     16275278 
       3110  +2          -11559870    -20599868     16946572 
       3130  +2          -11912995    -21053976     17657155 
       3150  +2          -12270065    -21491105     18407588 
       3170  +2          -12630262    -21907792     19198191 
       3190  +2          -12992666    -22300348     20029002 
       3210  +2          -13356248    -22664878     20899735 
       3230  +2          -13719867    -22997298     21809740 
       3250  +2          -14082267    -23293369     22757958 
       3270  +2          -14442076    -23548733     23742878 
       3290  +2          -14797805    -23758960     24762500 
       3310  +2          -15147851    -23919601     25814296 
       3330  +2          -15490498    -24026257     26895183 
       3350  +2          -15823927    -24074649     28001498 
       3370  +2          -16146221    -24060697     29128985 
       3390  +2          -16455381    -23980614     30272793 
       3410  +2          -16749336    -23830993     31427488 
       3430  +2          -17025964    -23608908     32587080 
       3450  +2          -17283111    -23312011     33745065 
       3470  +2          -17518615    -22938627     34894488 
       3490  +2          -17730335    -22487840     36028022 
       3510  +2          -17916176    -21959579     37138066 
       3530  +2          -18074122    -21354677     38216858 
       3550  +2          -18202269    -20674925     39256605 
       3570  +2          -18298858    -19923096     40249622 
       3590  +2          -18362305    -19102951     41188483 
       3610  +2          -18391237    -18219213     42066172 
       3630  +2          -18384518    -17277519     42876230 
       3650  +2          -18341276    -16284343     43612899 
       3670  +2          -18260928    -15246890     44271251 
       3690  +2          -18143193    -14172970     44847296 
       3710  +2          -17988107    -13070850     45338068 
       3730  +2          -17796027    -11949096     45741686 
       3750  +2          -17567632    -10816399     46057379 
       3770  +2          -17303912     -9681404     46285488 
       3790  +2          -17006158     -8552542     46427431 
       3810  +2          -16675939     -7437871     46485640 
       3830  +2          -16315077     -6344934     46463475 
       3850  +2          -15925619     -5280636     46365115 
       3870  +2          -15509800     -4251145     46195432 
       3890  +2          -15070009     -3261821     45959854 
       3910  +2          -14608752     -2317169     45664224 
       3930  +2          -14128613     -1420819     45314659 
       3950  +2          -13632215      -575532     44917413 
       3970  +2          -13122189       216776     44478751 
       3990  +2          -12601136       954987     44004833 
       4010  +2          -12071600      1638721     43501619 
       4030  +2          -11536041      2268265     42974783 
       4050  +2          -10996811      2844495     42429650 
       4070  +2          -10456135      3368793     41871146 
       4090  +2           -9916099      3842964     41303766 
       4110  +2           -9378636      4269154     40731558 
       4130  +2           -8845520      4649774     40158114 
       4150  +2           -8318361      4987427     39586580 
       4170  +2           -7798604      5284845     39019667 
       4190  +2           -7287532      5544830     38459676 
       4210  +2           -6786268      5770206     37908522 
       4230  +2           -6295781      5963776     37367766 
       4250  +2           -5816893      6128288     36838646 
       4270  +2           -5350285      6266405     36322112 
       4290  +2           -4896509      6380688     35818858 
       4310  +2           -4455994      6473576     35329355 
       4330  +2           -4029058      6547376     34853880 
       4350  +2           -3615917      6604258     34392546 
       4370  +2           -3216692      6646248     33945328 
       4390  +2           -2831421      6675231     33512088 
       4410  +2           -2460068      6692950     33092594 
       4430  +2           -2102529      6701011     32686542 
       4450  +2           -1758641      6700889     32293571 
       4470  +2           -1428191      6693931     31913279 
       4490  +2           -1110921      6681366     31545234 
       4510  +2            -806535      6664309     31188987 
       4530  +2            -514706      6643771     30844078 
       4550  +2            -235078      6620664     30510046 
       4570  +2              32724      6595809     30186435 
       4590  +2             289094      6569943     29872797 
       4610  +2             534439      6543727     29568697 
       4630  +2             769176      6517750     29273717 
       4650  +2             993729      6492537     28987458 
       4670  +2            1208526      6468555     28709540 
       4690  +2            1413995      6446216     28439604 
       4710  +2            1610566      6425884     28177313 
       4730  +2            1798664      6407879     27922353 
       4750  +2            1978711      6392482     27674431 
       4770  +2            2151123      6379937     27433276 
       4790  +2            2316311      6370456     27198638 
       4810  +2            2474676      6364222     26970289 
       4830  +2            2626611      6361393     26748019 
       4850  +2            2772500      6362103     26531639 
       4870  +2            2912718      6366464     26320977 
       4890  +2            3047629      6374571     26115880 
       4910  +2            3177587      6386503     25916212 
       4930  +2            3302935      6402322     25721851 
       4950  +2            3424004      6422079     25532691 
       4970  +2            3541116      6445813     25348641 
       4990  +2            3654580      6473552     25169623 
       5010  +2            3764696      6505315     24995572 
       5030  +2            3871751      6541114     24826435 
       5050  +2            3976022      6580954     24662171 
       5070  +2            4077777      6624832     24502749 
       5090  +2            4177271      6672741     24348149 
       5110  +2            4274750      6724669     24198360 
       5130  +2            4370449      6780600     24053382 
       5150  +2            4464595      6840513     23913222 
       5170  +2            4557404      6904384     23777896 
       5190  +2            4649082      6972186     23647429 
       5210  +2            4739828      7043890     23521854 
       5230  +2            4829830      7119462     23401210 
       5250  +2            4919268      7198867     23285544 
       5270  +2            5008314      7282067     23174910 
       5290  +2            5097132      7369021     23069369 
       5310  +2            5185877      7459686     22968988 
       5330  +2            5274697      7554016     22873840 
       5350  +2            5363732      7651962     22784005 
       5370  +2            5453115      7753472     22699569 
       5390  +2            5542972      7858490     22620622 
       5410  +2            5633421      7966958     22547261 
       5430  +2            5724574      8078812     22479589 
       5450  +2            5816536      8193986     22417712 
       5470  +2            5909405      8312408     22361743 
       5490  +2            6003272      8434001     22311799 
       5510  +2            6098222      8558684     22268001 
       5530  +2            6194333      8686368     22230475 
       5550  +2            6291678      8816958     22199351 
       5570  +2            6390321      8950353     22174762 
       5590  +2            6490322      9086444     22156845 
       5610  +2            6591733      9225113     22145739 
       5630  +2            6694599      9366234     22141587 
       5650  +2            6798959      9509672     22144533 
       5670  +2            6904846      9655282     22154722 
       5690  +2            7012284      9802907     22172302 
       5710  +2            7121292      9952380     22197419 
       5730  +2            7231881     10103522     22230221 
       5750  +2            7344054     10256140     22270853 
       5770  +2            7457807     10410030     22319460 
       5790  +2            7573128     10564973     22376182 
       5810  +2            7689996     10720735     22441156 
       5830  +2            7808384     10877068     22514515 
       5850  +2            7928254     11033708     22596386 
       5870  +2            8049560     11190375     22686888 
       5890  +2            8172248     11346772     22786131 
       5910  +2            8296252     11502587     22894216 
       5930  +2            8421499     11657490     23011232 
       5950  +2            8547904     11811133     23137256 
       5970  +2            8675373     11963153     23272349 
       5990  +2            8803801     12113168     23416557 
       6010  +2            8933073     12260780     23569906 
       6030  +2            9063061     12405575     23732404 
       6050  +2            9193627     12547121     23904035 
       6070  +2            9324622     12684974     24084760 
       6090  +2            9455885     12818673     24274514 
       6110  +2            9587243     12947745     24473204 
       6130  +2            9718512     13071705     24680706 
       6150  +2            9849496     13190058     24896867 
       6170  +2            9979986     13302301     25121497 
       6190  +2           10109763     13407924     25354372 
       6210  +2           10238597     13506413     25595230 
       6230  +2           10366246     13597253     25843771 
       6250  +2           10492457     13679930     26099653 
       6270  +2           10616967     13753936     26362495 
       6290  +2           10739504     13818769     26631871 
       6310  +2           10859787     13873940     26907313 
       6330  +2           10977527     13918975     27188310 
       6350  +2           11092427     13953419     27474307 
       6370  +2           11204184     13976840     27764706 
       6390  +2           11312490     13988834     28058867 
       6410  +2           11417034     13989028     28356108 
       6430  +2           11517502     13977086     28655710 
       6450  +2           11613579     13952711     28956914 
       6470  +2           11704951     13915652     29258928 
       6490  +2           11791306     13865706     29560930 
       6510  +2           11872337     13802722     29862069 
       6530  +2           11947742     13726605     30161471 
       6550  +2           12017228     13637318     30458243 
       6570  +2           12080512     13534887     30751480 
       6590  +2           12137323     13419400     31040268 
       6610  +2           12187404     13291012     31323690 
       6630  +2           12230513     13149945     31600835 
       6650  +2           12266428     12996486     31870800 
       6670  +2           12294945     12830990     32132700 
       6690  +2           12315884     12653878     32385672 
       6710  +2           12329086     12465636     32628884 
       6730  +2           12334419     12266810     32861539 
       6750  +2           12331778     12058005     33082882 
       6770  +2           12321083     11839882     33292206 
       6790  +2           12302286     11613151     33488858 
       6810  +2           12275366     11378569     33672241 
       6830  +2           12240334     11136931     33841822 
       6850  +2           12197232     10889067     33997133 
       6870  +2           12146131     10635834     34137776 
       6890  +2           12087135     10378109     34263423 
       6910  +2           12020376     10116783     34373818 
       6930  +2           11946016      9852754     34468780 
       6950  +2           11864247      9586919     34548201 
       6970  +2           11775288      9320168     34612044 
       6990  +2           11679384      9053378     34660343 
       7010  +2           11576805      8787405     34693202 
       7030  +2           11467844      8523079     34710788 
       7050  +2           11352814      8261199     34713332 
       7070  +2           11232047      8002528     34701121 
       7090  +2           11105893      7747786     34674497 
       7110  +2           10974716      7497651     34633851 
       7130  +2           10838893      7252752     34579615 
       7150  +2           10698809      7013668     34512262 
       7170  +2           10554858      6780926     34432297 
       7190  +2           10407438      6555000     34340252 
       7210  +2           10256952      6336311     34236683 
       7230  +2           10103801      6125226     34122162 
       7250  +2            9948387      5922058     33997273 
       7270  +2            9791108      5727069     33862610 
       7290  +2            9632356      5540470     33718767 
       7310  +2            9472516      5362425     33566340 
       7330  +2            9311965      5193049     33405919 
       7350  +2            9151069      5032416     33238086 
       7370  +2            8990184      4880557     33063413 
       7390  +2            8829651      4737465     32882457 
       7410  +2            8669799      4603099     32695760 
       7430  +2            8510943      4477385     32503847 
       7450  +2            8353382      4360221     32307224 
       7470  +2            8197399      4251478     32106375 
       7490  +2            8043261      4151006     31901763 
       7510  +2            7891219      4058634     31693831 
       7530  +2            7741508      3974175     31482999 
       7550  +2            7594346      3897428     31269663 
       7570  +2            7449935      3828180     31054200 
       7590  +2            7308460      3766210     30836962 
       7610  +2            7170090      3711289     30618283 
       7630  +2            7034980      3663185     30398473 
       7650  +2            6903269      3621663     30177824 
       7670  +2            6775081      3586487     29956608 
       7690  +2            6650526      3557422     29735079 
       7710  +2            6529701      3534236     29513474 
       7730  +2            6412690      3516700     29292012 
       7750  +2            6299565      3504590     29070897 
       7770  +2            6190386      3497687     28850319 
       7790  +2            6085202      3495780     28630455 
       7810  +2            5984052      3498665     28411467 
       7830  +2            5886966      3506146     28193507 
       7850  +2            5793965      3518034     27976716 
       7870  +2            5705061      3534151     27761225 
       7890  +2            5620259      3554327     27547156 
       7910  +2            5539558      3578401     27334623 
       7930  +2            5462950      3606222     27123732 
       7950  +2            5390421      3637648     26914583 
       7970  +2            5321953      3672547     26707270 
       7990  +2            5257523      3710796     26501880 
       8010  +2            5197103      3752281     26298497 
       8030  +2            5140664      3796899     26097201 
       8050  +2            5088173      3844553     25898067 
       8070  +2            5039594      3895158     25701168 
       8090  +2            4994889      3948635     25506575 
       8110  +2            4954019      4004915     25314355 
       8130  +2            4916944      4063936     25124575 
       8150  +2            4883623      4125644     24937300 
       8170  +2            4854014      4189992     24752594 
       8190  +2            4828075      4256941     24570520 
